Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
at Salisbury,2/5/14,58-83,L,27-47,.574,9-21,.429,20-32,.625,5,27,32,33.5,19,16,9,1,4,83,67.8,2013-2014
at Wesley,2/8/14,63-66,L,26-57,.456,6-18,.333,8-10,.800,14,20,34,33.5,12,15,11,6,2,66,67.7,2013-2014
MARY WASHINGTON,2/12/14,74-61,W,19-55,.345,4-20,.200,19-23,.826,13,20,33,33.5,16,9,16,4,7,61,67.4,2013-2014
PENN ST. HARRISBURG,2/15/14,74-44,W,16-44,.364,5-16,.313,7-8,.875,6,19,25,33.1,18,9,16,6,2,44,66.3,2013-2014
ST. MARY'S (MD.),2/19/14,64-69,L,24-53,.453,5-16,.313,16-22,.727,7,23,30,33.0,17,12,9,2,5,69,66.5,2013-2014
at Marymount (Va.),2/22/14,59-56,W,17-44,.386,4-18,.222,18-30,.600,7,26,33,33.0,24,10,11,4,6,56,66.0,2013-2014
at Salisbury,2/25/14,78-74,Wot,21-49,.429,9-21,.429,23-26,.885,8,16,24,32.7,18,15,16,0,8,74,66.3,2013-2014
at Wesley,02/27/14,59-54,W,17-49,.347,6-17,.353,14-18,.778,11,23,34,32.7,16,8,20,5,6,54,65.9,2013-2014
at Mary Washington,3/1/14,48-65,L,22-38,.579,11-23,.478,10-16,.625,5,23,28,32.5,13,13,14,0,4,65,65.9,2013-2014
RANDOLPH-MACON,11/18/14,71-70,Wot,24-57,.421,3-11,.273,19-34,.559,13,25,38,38.0,22,10,13,3,3,70,70.0,2014-2015
at Washington and Lee,11/21/14,64-53,W,19-66,.288,4-17,.235,11-19,.579,19,26,45,41.5,17,12,11,4,4,53,61.5,2014-2015
at Lynchburg College,11/23/14,66-90,L,27-51,.529,8-17,.471,28-36,.778,8,31,39,40.7,22,16,17,6,8,90,71.0,2014-2015
at Haverford,11/30/14,71-66,W,24-52,.462,3-11,.273,15-21,.714,2,27,29,37.8,20,10,11,3,5,66,69.8,2014-2015
SOUTHERN VIRGINIA,12/03/14,89-79,W,28-57,.491,5-15,.333,18-26,.692,11,25,36,37.4,39,17,24,2,6,79,71.6,2014-2015
at Frostburg State,12/06/14,85-67,W,26-69,.377,7-22,.318,8-16,.500,17,23,40,37.8,24,8,13,8,6,67,70.8,2014-2015
