Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
EASTERN MENNONITE,12/17/12,66-46,W,23-55,.418,4-15,.267,16-26,.615,15,37,52,42.1,20,11,21,5,11,66,75.0,2012-2013
HEIDELBERG,12/28/12,65-53,W,23-56,.411,6-15,.400,13-24,.542,9,29,38,41.6,13,7,11,2,8,65,73.8,2012-2013
BRIDGEWATER,12/29/12,97-74,W,32-64,.500,11-23,.478,22-29,.759,15,28,43,41.8,24,10,16,4,11,97,76.3,2012-2013
FERRUM,1/2/13,76-58,W,30-64,.469,1-12,.083,15-20,.750,17,26,43,41.9,15,15,11,5,10,76,76.3,2012-2013
at Methodist,1/5/13,68-48,W,26-58,.448,4-15,.267,12-17,.706,12,33,45,42.2,15,13,14,4,8,68,75.5,2012-2013
at Greensboro College,1/6/13,90-60,W,36-60,.600,13-22,.591,5-13,.385,7,29,36,41.7,17,14,10,3,8,90,76.8,2012-2013
at N.C. Wesleyan,1/9/13,109-112,Lot,39-80,.488,7-23,.304,24-36,.667,15,27,42,41.7,23,14,13,1,7,109,79.2,2012-2013
LAGRANGE,1/12/13,86-76,W,33-72,.458,8-28,.286,12-21,.571,17,27,44,41.9,24,17,17,3,12,86,79.7,2012-2013
MARYVILLE,1/19/13,79-71,W,27-65,.415,2-17,.118,23-33,.697,16,36,52,42.5,17,13,11,1,4,79,79.7,2012-2013
AVERETT,1/23/13,76-52,W,28-65,.431,12-28,.429,8-10,.800,11,34,45,42.7,13,16,14,6,7,76,79.4,2012-2013
METHODIST,1/26/13,78-57,W,28-57,.491,6-20,.300,16-24,.667,15,32,47,42.9,13,16,14,3,7,78,79.4,2012-2013
GREENSBORO,2/2/13,69-72,L,24-63,.381,3-19,.158,18-30,.600,19,32,51,43.4,17,8,18,2,3,69,78.8,2012-2013
VA. WESLEYAN,2/4/13,66-79,L,24-64,.375,3-11,.273,15-22,.682,12,28,40,43.2,11,6,4,3,3,66,78.1,2012-2013
at LaGrange,2/9/13,68-73,L,30-67,.448,5-26,.192,3-4,.750,9,24,33,42.7,23,11,11,5,5,68,77.6,2012-2013
N.C. WESLEYAN,2/13/13,93-67,W,31-68,.456,8-24,.333,23-32,.719,15,25,40,42.6,17,19,9,4,14,93,78.3,2012-2013
at Averett,2/16/13,77-56,W,30-53,.566,8-19,.421,9-14,.643,9,31,40,42.5,18,15,10,1,4,77,78.3,2012-2013
at Ferrum,2/17/13,76-52,W,28-52,.538,4-12,.333,16-20,.800,8,27,35,42.1,17,12,11,3,3,76,78.2,2012-2013
vs Averett,2/21/13,74-58,W,29-59,.492,6-22,.273,10-17,.588,10,32,42,42.1,20,21,14,4,6,74,78.0,2012-2013
vs N.C. Wesleyan,2/22/13,72-59,W,25-60,.417,5-20,.250,17-29,.586,16,30,46,42.3,18,9,11,5,6,72,77.8,2012-2013
vs Greensboro,2/23/13,81-74,W,27-56,.482,8-21,.381,19-23,.826,11,29,40,42.2,19,11,16,3,4,81,77.9,2012-2013
RUTGERS-NEWARK,3/2/13,84-72,W,26-58,.448,7-18,.389,25-35,.714,10,32,42,42.2,17,14,9,4,6,84,78.1,2012-2013
at Virginia Wesleyan,3/9/13,69-80,L,27-59,.458,2-14,.143,13-20,.650,10,22,32,41.8,20,13,10,2,6,69,77.8,2012-2013
ARCADIA,11/16/13,79-66,W,27-64,.422,6-20,.300,19-29,.655,16,30,46,46.0,16,8,17,5,11,79,79.0,2013-2014
